// ID,Sprite_Name,kROName,iROName,LV,HP,SP,EXP,JEXP,Range1,ATK1,ATK2,DEF,MDEF,STR,AGI,VIT,INT,DEX,LUK,Range2,Range3,Scale,Race,Element,Mode,Speed,aDelay,aMotion,dMotion,MEXP,MVP1id,MVP1per,MVP2id,MVP2per,MVP3id,MVP3per,Drop1id,Drop1per,Drop2id,Drop2per,Drop3id,Drop3per,Drop4id,Drop4per,Drop5id,Drop5per,Drop6id,Drop6per,Drop7id,Drop7per,Drop8id,Drop8per,Drop9id,Drop9per,DropCardid,DropCardper,HExp
30000,TRONCO,Tronco de Madeira,Tronco de Madeira,1,10,0,0,0,1,1,2,100,99,0,0,0,0,0,0,7,12,0,3,22,0x00000040,100,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30001,BONECO_TREINO,Boneco de Treino,Boneco de Treino,1,-1,10000,0,0,1,1,1,0,0,1,1,1,1,1,1,10,12,1,7,20,0x6200000,100,1472,384,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30095,Konohamaru,Konohamaru,Konohamaru,5,72,1,173,173,1,12,3,24,0,12,5,5,5,12,5,10,12,1,7,80,0x81,100,1000,672,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30116,Udon,Udon,Udon,1,60,1,151,173,1,8,1,2,5,6,1,1,0,6,5,10,12,1,7,80,0x83,100,1000,672,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30109,Moegi,Moegi,Moegi,3,55,1,156,173,1,11,1,18,0,10,3,3,0,8,5,10,12,1,7,80,0x81,100,1000,456,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30032,GIRINO,Girino,Girino,5,613,0,158,145,1,23,46,4,2,4,2,2,2,4,2,10,12,0,2,21,0x81,100,2016,816,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171
30033,FILHOTECOBRA,Filhote de Cobra,Filhote de Cobra,5,613,0,158,145,1,23,46,4,2,4,2,2,2,4,2,10,12,0,2,21,0x91,100,1576,576,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171
30034,FILHOTEKATSUYU,Filhote de Katsuyu,Filhote de Katsuyu,5,613,0,158,145,1,23,46,4,2,4,2,2,2,4,2,10,12,0,2,21,0x3289,100,1872,672,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171
30035,AKINO,Akino,Akino,5,613,0,158,145,1,23,46,4,2,4,2,2,2,4,2,10,12,0,2,21,0x3281,100,1500,680,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171
1002,PORING,Poring,Poring,1,60,1,0,0,1,8,1,2,5,6,1,1,0,6,5,10,12,1,3,21,0x83,400,1872,672,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1113,DROPS,Drops,Drops,2,275,1,63,58,1,13,26,2,1,2,1,1,1,2,1,10,12,1,3,23,0x83,400,1372,672,480,0,0,0,0,0,0,0,909,7500,0,0,938,500,0,0,713,1700,0,0,620,20,0,0,0,0,0,0,68
1063,LUNATIC,Lunatic,Lunatic,3,459,1,95,87,1,16,32,3,1,2,1,2,1,3,2,10,12,0,2,60,0x81,200,1456,456,336,0,0,0,0,0,0,0,705,6500,949,1000,0,0,0,0,0,0,0,0,622,20,0,0,0,0,0,0,103
1240,META_PICKY,Picky,Picky,3,459,1,95,87,1,16,32,3,1,2,1,2,1,3,2,10,12,0,2,23,0x81,200,988,288,168,0,0,0,0,0,0,0,916,6500,949,850,0,0,0,0,0,0,715,60,0,0,0,0,0,0,0,0,103
1008,PUPA,Pupa,Pupa,4,550,1,126,116,1,21,42,4,1,3,2,2,1,3,2,10,12,0,4,22,0x2000000,1000,1001,1,1,0,0,0,0,0,0,0,1010,80,915,5500,938,600,0,0,935,1000,938,600,1002,200,0,0,0,0,0,0,137
1011,CHONCHON,Chonchon,Chonchon,5,734,1,158,145,1,27,54,5,1,4,2,3,1,4,2,10,12,0,4,24,0x2000081,200,1076,576,480,0,0,0,0,0,0,0,998,50,935,6500,909,1500,0,0,0,0,742,5,1002,150,0,0,0,0,0,0,171
1007,FABRE,Fabre,Fabre,6,825,1,190,174,1,30,60,5,2,4,2,3,1,5,3,10,12,0,4,22,0x2000081,400,1672,672,480,0,0,0,0,0,0,0,914,6500,949,500,0,0,721,5,0,0,705,1000,0,0,0,0,0,0,0,0,206
1010,WILOW,Willow,Willow,8,1100,1,253,232,1,36,73,7,2,5,3,4,1,6,3,10,12,1,3,22,0x81,200,1672,672,432,0,0,0,0,0,0,0,902,9000,1019,100,907,1500,0,0,1068,3500,1067,2000,1066,1000,0,0,0,0,0,0,275
1017,THIEF_BUG_FEMALE,Thief Bug Female,Thief Bug Female,10,1375,0,316,290,1,49,98,9,2,7,4,5,1,7,4,10,12,1,4,27,0x651,200,988,288,768,0,0,0,0,0,0,0,955,3500,910,250,0,0,928,200,0,0,716,50,1002,400,0,0,0,0,0,0,343
1901,E_CONDOR,Condor,Condor,10,1375,0,316,290,1,49,98,9,2,7,4,5,1,7,4,10,12,0,2,26,0x1081,150,1148,648,480,0,0,0,0,0,0,0,7973,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343
1004,HORNET,Hornet,Hornet,11,1467,1,173,319,1,52,104,10,3,7,4,5,1,8,5,10,12,0,4,24,0x2001081,150,1292,792,216,0,0,0,0,0,0,0,992,80,939,9000,909,3500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378
1009,CONDOR,Condor,Condor,12,1650,1,189,348,1,58,116,11,3,8,4,6,1,9,5,10,12,1,2,24,0x1081,150,1148,648,480,0,0,0,0,0,0,0,917,9000,0,0,715,80,0,0,0,0,916,2000,0,0,0,0,0,0,0,0,412
